trial_type,rt,response,trial_index,plugin_version,time_elapsed,prolific_pid,exp_version,goal_condition,base_rate_condition,decision_structure,completion_time,view_history,question_order,correct,option_order,trial_id,base_rate,raw_response,value
html-button-response,31162,0,0,2.0.0,31170,subj_221,exp1,cont,0.5,singleton,2026-01-25T04:51:59.818Z,,,,,,,,
instructions,31465,,1,2.0.0,62640,subj_221,exp1,cont,0.5,singleton,2026-01-25T04:51:59.818Z,"[{""page_index"":0,""viewing_time"":2219},{""page_index"":1,""viewing_time"":13720},{""page_index"":2,""viewing_time"":3951},{""page_index"":3,""viewing_time"":8361},{""page_index"":4,""viewing_time"":3214}]",,,,,,,
survey-multi-choice,8893,"{""goal_check"":""Find out the contaminant that went in the vials""}",2,2.0.0,71542,subj_221,exp1,cont,0.5,singleton,2026-01-25T04:51:59.818Z,,[0],true,"[""Find out the contaminant that went in the vials"",""Run experiment on an uncontaminated vial"",""Test as many vials as possible"",""Ask your colleague multiple questions""]",,,,
html-button-response,1403,0,3,2.0.0,72949,subj_221,exp1,cont,0.5,singleton,2026-01-25T04:51:59.818Z,,,,,,,,
survey-multi-choice,3478,"{""colleague_check"":""The colleague knows for certain about some vials, not about others.""}",4,2.0.0,76431,subj_221,exp1,cont,0.5,singleton,2026-01-25T04:51:59.818Z,,[0],true,"[""The colleague knows for certain about some vials, not about others."",""The colleague knows nothing."",""It depends on the trial."",""The colleague knows the status of all the vials.""]",,,,
html-button-response,1366,0,5,2.0.0,77800,subj_221,exp1,cont,0.5,singleton,2026-01-25T04:51:59.818Z,,,,,,,,
survey-multi-choice,6575,"{""baserate_check"":""only a few contaminated, mostly uncontaminated""}",6,2.0.0,84378,subj_221,exp1,cont,0.5,singleton,2026-01-25T04:51:59.818Z,,[0],false,"[""mostly contaminated, only a few uncontaminated"",""I don't know"",""half contaminated, half uncontaminated"",""only a few contaminated, mostly uncontaminated""]",,,,
html-button-response,3085,0,7,2.0.0,87468,subj_221,exp1,cont,0.5,singleton,2026-01-25T04:51:59.818Z,,,,,,,,
survey-multi-choice,2512,"{""baserate_check"":""half contaminated, half uncontaminated""}",8,2.0.0,89984,subj_221,exp1,cont,0.5,singleton,2026-01-25T04:51:59.818Z,,[0],true,"[""only a few contaminated, mostly uncontaminated"",""half contaminated, half uncontaminated"",""mostly contaminated, only a few uncontaminated"",""I don't know""]",,,,
html-button-response,2296,0,9,2.0.0,92283,subj_221,exp1,cont,0.5,singleton,2026-01-25T04:51:59.818Z,,,,,,,,
survey-html-form,9445,"{""completion"":""contaminant""}",10,2.0.0,101764,subj_221,exp1,cont,0.5,singleton,2026-01-25T04:51:59.818Z,,,,,exp1_trial1,0.5,contaminant,
survey-text,7480,"{""strategy"":""I asked what I needed to know..""}",11,2.0.0,109263,subj_221,exp1,cont,0.5,singleton,2026-01-25T04:51:59.818Z,,,,,,,,
html-button-response,2637,0,12,2.0.0,111903,subj_221,exp1,cont,0.5,singleton,2026-01-25T04:51:59.818Z,,,,,,,,
call-function,,,13,2.0.0,111907,subj_221,exp1,cont,0.5,singleton,2026-01-25T04:51:59.818Z,,,,,,,,
