trial_type,rt,response,trial_index,plugin_version,time_elapsed,prolific_pid,exp_version,goal_condition,base_rate_condition,decision_structure,completion_time,view_history,question_order,correct,option_order,trial_id,base_rate,button_order,chosen_question,chose_which_contaminated,chose_which_uncontaminated,value
html-button-response,2162,0,0,2.0.0,2168,subj_211,exp2,cont,0.5,singleton,2026-01-26T00:24:23.022Z,,,,,,,,,,,
instructions,69876,,1,2.0.0,72047,subj_211,exp2,cont,0.5,singleton,2026-01-26T00:24:23.022Z,"[{""page_index"":0,""viewing_time"":7307},{""page_index"":1,""viewing_time"":17791},{""page_index"":2,""viewing_time"":11665},{""page_index"":3,""viewing_time"":21480},{""page_index"":4,""viewing_time"":11632}]",,,,,,,,,,
survey-multi-choice,7498,"{""goal_check"":""Find out the contaminant that went in the vials""}",2,2.0.0,79548,subj_211,exp2,cont,0.5,singleton,2026-01-26T00:24:23.022Z,,[0],true,"[""Run experiment on an uncontaminated vial"",""Test as many vials as possible"",""Find out the contaminant that went in the vials"",""Ask your colleague multiple questions""]",,,,,,,
html-button-response,1226,0,3,2.0.0,80778,subj_211,exp2,cont,0.5,singleton,2026-01-26T00:24:23.022Z,,,,,,,,,,,
survey-multi-choice,7920,"{""colleague_check"":""The colleague knows for certain about some vials, not about others.""}",4,2.0.0,88701,subj_211,exp2,cont,0.5,singleton,2026-01-26T00:24:23.022Z,,[0],true,"[""The colleague knows for certain about some vials, not about others."",""The colleague knows the status of all the vials."",""The colleague knows nothing."",""It depends on the trial.""]",,,,,,,
html-button-response,1031,0,5,2.0.0,89735,subj_211,exp2,cont,0.5,singleton,2026-01-26T00:24:23.022Z,,,,,,,,,,,
html-button-response,4798,1,6,2.0.0,94536,subj_211,exp2,cont,0.5,singleton,2026-01-26T00:24:23.022Z,,,,,exp2_trial1,0.5,"[""Which vials are not contaminated?"",""Which vials are contaminated?""]",Which vials are contaminated?,true,false,
survey-text,23760,"{""strategy"":""I want to know a for sure answer instead of a guess. ""}",7,2.0.0,118302,subj_211,exp2,cont,0.5,singleton,2026-01-26T00:24:23.022Z,,,,,,,,,,,
html-button-response,3129,0,8,2.0.0,121435,subj_211,exp2,cont,0.5,singleton,2026-01-26T00:24:23.022Z,,,,,,,,,,,
call-function,,,9,2.0.0,121437,subj_211,exp2,cont,0.5,singleton,2026-01-26T00:24:23.022Z,,,,,,,,,,,
